item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Watches,"JBW Watch For Men 16 Pieces Diamonds , Leather,Chronograph- J6325C","3,731.00SAR",679.98SAR,90,84,FREE Shipping,men
Watches,"Emporio Armani Watch for Men , Analog , AR11053","1,118.00SAR",566.99SAR,43,88,FREE Shipping,men
Watches,Ferrari Casual Watch For Men Analog Leather - 830388,"1,045.00SAR","1,044.99SAR",,,FREE Shipping,men
Watches,"Casio F-200W-2ADF For Men- Digital, Casual Watch, Resin, Quartz",84.00SAR,67.00SAR,,86,,men
Watches,JBW Jet Setter Men's 234 Diamonds Gold Dial Gold Plated Stainless Steel Band Watch - JB-6213-A,"29,970.00SAR","2,115.49SAR",98,72,FREE Shipping,men
Watches,"Casio Unisex Ana Digi Dial Stainless Steel Band Watch Aq230A 1Dmq, Quartz, Analog Digital",154.00SAR,76.99SAR,89,80,Eligible for FREE Shipping,Unisex
Watches,Fossil Coachman Men's Black Dial Leather Band Chronograph Watch - CH2891,"1,265.00SAR",705.00SAR,,86,,men
Watches,"JBW Watch for Unisex Studded with 12 diamonds , Stainless Steel Band  - J6340B","2,730.00SAR",452.49SAR,72,86,FREE Shipping,Unisex
Watches,Fossil Grant Sport Men's Blue Dial Leather Band Watch - ME3140,"2,202.00SAR",712.98SAR,23,94,FREE Shipping,men
Watches,Casio Casual Watch For Men Analog-Digital Resin - AEQ-110W-1BV,,154.90SAR,75,88,,men
Watches,"Diesel Mr. Daddy For Men Analog Gunmetal Ion Plated Stainless Steel Band Watch Dz7315, Quartz","1,545.00SAR","1,180.00SAR",75,88,,men
Watches,JBW Mondrain for Women - Dress Stainless Steel Band Watch - J6303G,"2,990.00SAR",746.00SAR,,92,,women
Watches,"Casio His & Hers Black Dial Stainless Steel Band Couple Watch - MTP/LTP-V004D-1B For Unisex, Analog, Japanese Quartz",270.00SAR,160.58SAR,72,86,Eligible for FREE Shipping,Unisex
Watches,"Diesel Mega Chief Dz4329, Analog",990.00SAR,669.48SAR,93,82,FREE Shipping,
Watches,"Emporio Armani Men'S Black Dial Leather Band Watch Ar2482, Quartz, Analog","1,095.00SAR",653.49SAR,47,86,FREE Shipping,men
Watches,Lacoste Legacy Men's Black Dial Leather Band Watch - 2010982,855.00SAR,401.98SAR,29,,FREE Shipping,men
Watches,JBW Victory Women's 16 Diamonds Mother of Pearl Dial Gold Plated Stainless Steel Band Watch - JB-6210-A,"5,870.00SAR",753.98SAR,79,82,FREE Shipping,women
Watches,Casio AE-1000W-1A Digital Quartz Resin Sport Watch for Men - Black,,190.00SAR,,88,,men
Watches,"Akribos XXIV Women's Gold Dial Mixed Material Band Watch Set - AK738YG, Analog, Swiss Quartz and Japanese Quartz","2,990.00SAR",442.48SAR,90,80,FREE Shipping,women
Watches,"JBW Laurel Watch for Women , Stainless Steel , 9 Diamonds , J6330F","4,316.00SAR",706.99SAR,90,90,FREE Shipping,women
Watches,JBW Women's Mondrian Jewelry Set 0.16 ctw Diamond 18k Gold-plated Stainless Steel Watch - J6303-SetB,,700.00SAR,,100,,women
Watches,Timberland Templeton Men's White Dial Leather Band Watch - TBL14811JSU-07,938.00SAR,342.98SAR,61,88,FREE Shipping,men
Watches,"Burberry Watch for Women , Quartz , Leather , BU9111","1,766.00SAR",798.48SAR,83,96,FREE Shipping,women
Watches,Lacoste Casual Watch For Men Analog Leather - 2010910,575.00SAR,349.99SAR,22,100,FREE Shipping,men
Watches,"Emporio Armani Casual Watch for Men - Stainless Steel, Analog - AR1933","1,360.00SAR",852.99SAR,20,90,FREE Shipping,men
