item_category,item_name,item_after_discount,item_price,percentage_solds,item_rating,item_shipping,buyer_gender
Eyewear,"Polaroid Aviator Sunglasses for Unisex, Silver",750.00SAR,168.99SAR,82,80,Eligible for FREE Shipping,Unisex
Eyewear,"Alexander McQueen - AM0037S, Geometric, acetate, men, HAVANA/GREY(003 D), 56/0/0","1,496.00SAR",792.98SAR,,,FREE Shipping,men
Eyewear,"Arnette Men's Booger Non-Polarized Iridium Rectangular Sunglasses, Matte Black, 61 mm",449.00SAR,316.98SAR,,100,FREE Shipping,men
Eyewear,"Vogue Sunglasses for Women - Size 54, Blue Frame, 0VO2990S 23254854",714.00SAR,296.98SAR,,60,FREE Shipping,women
Eyewear,"Ray-Ban Sunglasses for Man , Lens Color Dark Green , 0RB3654 60 002/71","1,060.00SAR",459.48SAR,,,FREE Shipping,
Eyewear,"G-Star Unisex Square Sunglasseses - GS651S-214 5417, 150 mm, Blue Gradient","1,050.00SAR",296.98SAR,25,,FREE Shipping,Unisex
Eyewear,Marc Jacobs Cat Eye Sunglasses for Unisex - Purple Lens,850.00SAR,311.99SAR,,,FREE Shipping,Unisex
Eyewear,Arnette AN 4185 2361/6Q Slickster - Matte Stone Washed Copper/Red by Arnette for Men - 58-16-145 mm,390.00SAR,180.48SAR,50,40,Eligible for FREE Shipping,men
Eyewear,"Polaroid Sunglasses for Unisex , Blue",250.00SAR,149.98SAR,85,,Eligible for FREE Shipping,Unisex
Eyewear,"Miu Miu Rimless Women's Sunglasses - 56Ts-Xej1A1 - 63 mm, Black Lens","2,000.00SAR",976.98SAR,50,100,FREE Shipping,women
Eyewear,"Ray-Ban Aviator Men's Sunglasses - Rb 3549-002/T3 - 61-16-145 mm, Grey Lens","1,000.00SAR",453.99SAR,90,80,FREE Shipping,men
Eyewear,Ray-Ban Aviator Unisex Sunglasses - Rb3025-019/Z258,855.00SAR,473.98SAR,3,90,FREE Shipping,Unisex
Eyewear,"Salvatore Ferragamo Women's Sunglasses - Sf879S-213 53, 150 mm, Black Lens, Square Frame","1,490.00SAR",478.49SAR,,,FREE Shipping,women
Eyewear,"Ray-Ban Men's Injected Man Sunglass Non-Polarized Iridium Round, SHINY RED HAVANA 51 mm",945.00SAR,409.49SAR,12,,FREE Shipping,men
Eyewear,"Gucci Oval Unisex Sunglasses - Gg0124Sa00152 - 52-21-150 mm, Grey Lens","1,619.00SAR","1,015.49SAR",26,60,FREE Shipping,Unisex
Eyewear,"Ray-Ban Erika Unisex Sunglasses - 4243 6225/19 49, Blue Lens",720.00SAR,312.98SAR,12,80,FREE Shipping,Unisex
Eyewear,"Ray-Ban Wayfarer Unisex Clubmaster Sunglasses - Rb3016-W0366-51-21-145, Green Lens","1,084.00SAR",435.98SAR,68,90,FREE Shipping,Unisex
Eyewear,"Ray Ban Unisex Sunglasses - 3025, 58, 004/78, Grey Lens, Aviator Frame","1,065.00SAR",478.49SAR,33,100,FREE Shipping,Unisex
Eyewear,"Ray-Ban Round Unisex Sunglasses - 4257 6092/55 53, Blue Lens",890.00SAR,385.49SAR,12,80,FREE Shipping,Unisex
Eyewear,"Ray-Ban Clubmaster Unisex Sunglasses - 3016 1145/17 49, Blue Lens",890.00SAR,385.49SAR,60,100,FREE Shipping,Unisex
Eyewear,CARRERA Men's Sunglasses Aviator Carrera 1005/S Whit Gold,800.00SAR,716.98SAR,26,88,FREE Shipping,men
Eyewear,Guess GU 7563,669.00SAR,326.49SAR,57,20,FREE Shipping,
Eyewear,"Fendi Sunglasses For Women, Alloy, Pink, Ff 0177/S 0J, Cat Eye Frame","1,250.00SAR",473.49SAR,40,96,FREE Shipping,women
Eyewear,"Ray-Ban Clubmaster Women's Sunglasses - Rb4256-609255-49 - 49-20-145, Blue Lens",662.00SAR,385.49SAR,,84,FREE Shipping,women
Eyewear,"Gucci Oval Unisex Sunglasses - Gg0124S00450 - 50-22-145 mm, Brown Lens","1,619.00SAR",954.48SAR,20,74,FREE Shipping,Unisex
Eyewear,"Polaroid Kids' PLD 8016/N K7 SED Sunglasses, Havana Green Grey Speckled Pz, 48",250.00SAR,109.00SAR,87,78,Eligible for FREE Shipping,
Eyewear,"Ray-Ban Erika Unisex Sunglasses - 4258 6230/7J 50, Pink Lens",840.00SAR,360.99SAR,,,FREE Shipping,Unisex
Eyewear,"Ray-Ban Men's Aviator Large Metal Aviator Sunglasses, Gold (Frames: gold Glass: Course light blue 001/3F), 58 mm",802.00SAR,358.98SAR,72,86,FREE Shipping,men
Eyewear,"Ray-Ban Men's Injected Man Sunglass Polarized Iridium Rectangular, BLACK 64 mm","1,115.00SAR",482.49SAR,54,100,FREE Shipping,men
Eyewear,Occhiali da Sole 8687 METALLO,"1,200.00SAR",679.49SAR,33,80,FREE Shipping,
Eyewear,"Ray-Ban Wayfarer Unisex Sunglasses - Rb4210-646/3R50, Green Lens","1,310.00SAR",505.98SAR,20,,FREE Shipping,Unisex
Eyewear,"Ray-Ban Sunglasses For Men, Size 51 mm, 4246, 51, 990, N.C, Green Lens, Round Frame",790.00SAR,443.49SAR,14,84,FREE Shipping,men
Eyewear,"Just Cavalli Cat Eye Women's Sunglasses - JC759S - 52-20-140mm, Grey",625.00SAR,237.98SAR,,80,FREE Shipping,women
Eyewear,"Ray-Ban Butterfly Unisex Sunglasses - 4250 6034/2Y 52, Beige Lens","1,170.00SAR",505.98SAR,16,,FREE Shipping,Unisex
Eyewear,"Ray-Ban Unisex's Rb4075 Sunglasses, Tortoise, 61","1,169.00SAR",457.99SAR,10,100,FREE Shipping,Unisex
Eyewear,"Ray-Ban Men's 0RB4346 Sunglasses, Negro, 51","1,170.00SAR",360.99SAR,63,100,FREE Shipping,men
Eyewear,"Flamingo Rectangle Sunglasseses For Unisex,Plastic,Blue",279.00SAR,78.49SAR,55,,Eligible for FREE Shipping,Unisex
Eyewear,"Arnette Sunglasses, Square, For Women, Grey, 0An4243 25226G 60",400.00SAR,201.48SAR,14,,FREE Shipping,women
Eyewear,"Puma Sunglass For Men - Pu0016S_005, Blue Lens, Square Frame",365.00SAR,151.48SAR,37,70,Eligible for FREE Shipping,men
Eyewear,"Arnette Sunglasses, Square, For Women, Grey, 0An4243 252181 60",500.00SAR,250.98SAR,,,FREE Shipping,women
Eyewear,"Calvin Klein Square Sunglasseses for Unisex , Grey ,  CKJ818S",950.00SAR,234.99SAR,20,60,FREE Shipping,Unisex
Eyewear,"Ray-Ban Round Sunglasses For Unisex - Brown, 4296, 51, 6331, 83","1,060.00SAR",453.99SAR,,,FREE Shipping,Unisex
Eyewear,"Oakley Round Sunglasses For Men, Silver, 0OO9265 92652153","1,000.00SAR",402.99SAR,,,FREE Shipping,men
Eyewear,"Ray-Ban Aviator Unisex Sunglasses - 3540 198/9U 56, Blue Lens",950.00SAR,409.49SAR,,,FREE Shipping,Unisex
Eyewear,"Ray-Ban Half Frame Unisex Sunglasses - 4280 6289/B7 55, Blue Lens",994.00SAR,505.98SAR,14,100,FREE Shipping,Unisex
Eyewear,"Ray-Ban Butterfly Unisex Sunglasses - 4250 671/55 52, Blue Lens","1,170.00SAR",505.98SAR,,,FREE Shipping,Unisex
Eyewear,"Bottega Veneta Sunglasses For Unisex, Bv0013S-001-59, Brown Lens, Round Frame","2,094.00SAR","1,175.99SAR",14,,FREE Shipping,Unisex
Eyewear,"Ray-Ban Aviator Men's Sunglasses - Rb 3560-004/51 - 61-17-145 mm, Brown Lens",840.00SAR,382.99SAR,53,74,FREE Shipping,men
Eyewear,"Ray Ban Sunglasses For Unisex, Rb3025 001/51 58-14, Brown Lens, Aviator Frame",770.00SAR,397.97SAR,89,86,FREE Shipping,Unisex
Eyewear,"Guess Cat Eye Women's Sunglasses - Gu7485-56F-51 - 51-25- 135 mm, Brown Lens",600.00SAR,170.49SAR,83,100,Eligible for FREE Shipping,women
Eyewear,"Guess By Marciano Cat Eye Women's Sunglasses - Gm0751 - 56-17-135 mm, Grey Lens",630.00SAR,243.99SAR,16,,FREE Shipping,women
Eyewear,Sunglasses Diane von Furstenberg DVF 143 S FIONA 237 DARK TORTOISE,594.00SAR,211.98SAR,,,FREE Shipping,
Eyewear,"Ray-Ban Clubmaster Women's Sunglasses - Rb4256-60926G-49 - 49-20-145, Grey Lens",562.00SAR,385.49SAR,14,100,FREE Shipping,women
Eyewear,"Ray-Ban Sunglasses For Unisex, Gold, 3538, Square Frame",880.00SAR,409.49SAR,33,100,FREE Shipping,Unisex
Eyewear,"Ray-Ban Sunglasses For Unisex, 0Rb3578 186/B150, Multi Color Lens, Round Frame","1,110.00SAR",409.49SAR,,100,FREE Shipping,Unisex
Eyewear,Ray-Ban Rectangle Unisex Sunglasses - 3538 189/55 53,950.00SAR,409.49SAR,33,,FREE Shipping,Unisex
Eyewear,"Oakley Men's Crossrange Sunglasses, Matte Black W/Prizm Black Polarized, 57","1,100.00SAR",558.99SAR,16,100,FREE Shipping,men
Eyewear,"Ray-Ban Square Unisex Sunglasses - 4258 6231/1N 50, Blue Lens",840.00SAR,360.99SAR,22,,FREE Shipping,Unisex
Eyewear,"Ray-Ban Clubmaster Women's Sunglasses - Rb2183-1127B9-53 - 53 -21 -145 mm, Pink Lens",970.00SAR,433.48SAR,,100,FREE Shipping,women
Eyewear,"Ray-Ban Round Unisex Sunglasses - Rb2447-116049, Brown Lens","1,061.00SAR",360.99SAR,85,74,FREE Shipping,Unisex
